"email_body","label"
"Testing phase begins next Monday. QA team is ready to start.","0"
"Reminder: Weekly standup is at 10:00 AM tomorrow in conference room 620.","0"
"Training session: budget - Mar 10. Registration link included.","0"
"Code review completed for PR #349. Looks good to merge.","0"
"ALERT: Your TD Bank credit card has been declined. Update payment info: http://microsoft-security-center.net","1"
"Team building event scheduled for May 25. Looking forward to seeing you!","0"
"Product updates from Apple: What's new in version 5.0.","0"
"Sending you the recipe I mentioned. Let me know how it turns out!","0"
"Great work on the Mobile App deliverable. The client was impressed.","0"
"IRS Tax Refund: You're eligible for $2500. Claim here: http://ceo-urgent-request.biz","1"
"The all-hands meeting is rescheduled to Tuesday at 9:00 AM.","0"
"WARNING: Your cryptocurrency wallet has been compromised: http://tax-refund-claim.gov.phishing.com","1"
"Thank you for your payment of $150.0. Transaction ID: 397.","0"
"Purchase receipt: equipment from Microsoft. Total: $299.99.","0"
"Your appointment is confirmed for May 25 at 3:30 PM.","0"
"Training session: requirements - Feb 20. Registration link included.","0"
"Your Binance mining rewards are ready. Claim: http://package-tracking-update.net","1"
"The all-hands meeting is rescheduled to Monday at 3:30 PM.","0"
"Industry insights: Latest trends in marketing - March edition.","0"
"Package delivery exception. DHL requires signature: http://package-tracking-update.net","1"
"We appreciate your business! How would you rate your experience with us?","0"
"URGENT: Verify your Kraken wallet or lose funds: http://microsoft-security-center.net","1"
"Delivery notification: FedEx attempted delivery. Reschedule: http://claim-prize-here.com","1"
"Don't forget about our 1:1 on Monday at 9:00 AM.","0"
"Government stimulus payment of $5000 pending. Verify: http://tax-refund-claim.gov.phishing.com","1"
"Bitcoin investment opportunity! Triple your money. Join: http://microsoft-security-center.net","1"
"URGENT: Tax document verification required. Access portal: http://package-tracking-update.net","1"
"The all-hands meeting is rescheduled to Thursday at 9:00 AM.","0"
"Following up on our discussion about budget. Here are my notes.","0"
"Calendar invitation: Conference on May 25 at 9:00 AM.","0"
"Tax refund of $10000 approved. Confirm details: http://microsoft-security-center.net","1"
"URGENT: Verify your Binance wallet or lose funds: http://crypto-rewards-claim.com","1"
"Thank you for your patience. Your order #345 has shipped.","0"
"Unusual transaction detected on Chase account ending in 9257. Review: http://account-update-now.net","1"
"Congratulations! You've won a $5000 gift card from Amazon. Click here to claim: http://account-update-now.net","1"
"You've been featured on Tinder! See your matches: http://verify-account-urgent.org","1"
"Thank you for your payment of $299.99. Transaction ID: 444.","0"
"Good news! We're ahead of schedule on the Website Redesign implementation.","0"
"Reminder: Weekly standup is at 2:00 PM tomorrow in conference room 350.","0"
"Account security notice: Confirm your Dropbox information: http://secure-login-verify.com","1"
"Apple Security Alert: Your iCloud has been compromised: http://account-update-now.net","1"
"Lucky winner! You won a new iPhone from Apple. Claim immediately: http://banking-security-alert.com","1"
"You've won the Amazon sweepstakes! $100 prize. Details: http://account-update-now.net","1"
"Purchase receipt: software license from Target. Total: $150.0.","0"
"URGENT: Your Bumble profile will be deleted. Verify: http://tax-refund-claim.gov.phishing.com","1"
"You've won the Walmart sweepstakes! $100 prize. Details: http://tax-refund-claim.gov.phishing.com","1"
"Invitation: Join us for Training at Main Office.","0"
"Thank you for your patience. Your order #392 has shipped.","0"
"Your iCloud account has been locked. Unlock here: http://microsoft-security-center.net","1"
"Hi Amanda, please review the attached document for our project and let me know your thoughts.","0"
